lob|type|subtype|brand|short_description|MRP|list_price|discount|savings|speciality|size|sizePack|description|image_url|Country of Origin
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Horse Gram/Kulthi|40.00|20.00|50%|20.00|Vegetarian|200gms|Pouch|Anmol Supreme Horse Gram/Kulthi||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Jowar|450.00|261.00|42%|189.00|Vegetarian|5kg|Pouch|Anmol Supreme Jowar||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Jowar|180.00|108.00|40%|72.00|Vegetarian|2kg|Pouch|Anmol Supreme Jowar||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Bajra|80.00|55.00|31%|25.00|Vegetarian|1kg|Pouch|Anmol Supreme Bajra||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Bajra|40.00|30.00|25%|10.00|Vegetarian|500gms|Pouch|Anmol Supreme Bajra||India

Pantry|Dals & Pulses|Anmol|Anmol Supreme Mix Dal|240.00|127.00|47%|113.00|Vegetarian|1kg|Pouch|Anmol Supreme Mix Dal||India
Pantry|Dals & Pulses|Anmol|Anmol Supreme Mix Dal|120.00|66.00|45%|54.00|Vegetarian|500gms|Pouch|Anmol Supreme Mix Dal||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Moth Whole/Matki|100.00|75.00|25%|25.00|Vegetarian|500gms|Pouch|Anmol Supreme Moth Whole/Matki||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Moth Whole/Matki|40.00|32.00|20%|8.00|Vegetarian|200gms|Pouch|Anmol Supreme Moth Whole/Matki||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Soya Bean|120.00|108.00|12.00|12.00|Vegetarian|1kg|Pouch|Anmol Supreme Soya Bean||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Soya Bean|60.00|59.00|1.00|1.00|Vegetarian|500gms|Pouch|Anmol Supreme Soya Bean||India

Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Wheat - Whole|275.00|225.00|18%|25.00|Vegetarian|5kg|Pouch|Anmol Supreme Wheat - Whole||India
Pantry|Dals & Pulses|Cereals & Millets|Anmol|Anmol Supreme Wheat - Whole|55.00|47.00|15%|8.00|Vegetarian|1kg|Pouch|Anmol Supreme Wheat - Whole||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Tur/Toor Dal|899.00|649.00|28%|250.00|[Vegetarian~Organic]|5kg|Pouch|Anmol Supreme Organic - Tur/Toor Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Tur/Toor Dal|200.00|145.00|28%|55.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Tur/Toor Dal||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Tur/Toor Dal|105.00|77.00|27%|28.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Tur/Toor Dal||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Brown Chana/Channa Brown|139.00|100.00|28%|39.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic - Brown Chana/Channa Brown||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Brown Chana/Channa Brown|73.00|54.00|26%|19.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic - Brown Chana/Channa Brown||India

Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Kabuli Chana|171.00|121.00|29%|50.00|[Vegetarian~Organic]|1kg|Pouch|Anmol Supreme Organic Kabuli Chana||India
Pantry|Dals & Pulses|All Dals|Anmol|Anmol Supreme Organic - Kabuli Chana|88.00|65.00|26%|23.00|[Vegetarian~Organic]|500gms|Pouch|Anmol Supreme Organic Kabuli Chana||India

